,Backward probabilities
R_1,1.18679906432e-22
R_2,3.01043044352e-22
R_3,2.84818312788e-14
R_4,4.25113585645e-12
R_5,1.8517073108e-18
R_6,9.2352146852e-12
R_7,8.29621846067e-12
R_8,5.27916280477e-13
R_9,9.22886507289e-12
