,Backward rate
R_1,7.54045231325e-11
R_2,1.52627394981e-10
R_3,0.00366740228545
R_4,4.03599041326
R_5,9.47946277508e-07
R_6,22.7180518102
R_7,10.3644560227
R_8,0.63615652197
R_9,72.3185666532
