,log Q_r
R_1,-4.08353263219
R_2,-6.18299661364
R_3,-2.37119310347
R_4,4.6878565584
R_5,-3.6061701868
R_6,10.3475299273
R_7,1.79998797738
R_8,4.52910512557
R_9,3.60517019602
