,fullS*forward_rate
A,-0.00366857449125
B,-49.4720963841
C,12.3572655373
D,17.9264826155
E,-4.03598946531
F,-49.600514843
A_ext,-5.86181026902
D_ext,11.1175856359
E_ext,-4.72305430565
F_ext,72.2958000529
