,Backward Entropy Production
R_1,5.99162773498e-21
R_2,1.49181245346e-20
R_3,8.8833436177e-13
R_4,1.11311039438e-10
R_5,7.56059938641e-17
R_6,2.34648309377e-10
R_7,2.11679850077e-10
R_8,1.49241080875e-11
R_9,2.34493325874e-10
