,fullS*net_flux
A,-1.17212857353e-06
B,-2.35056998843e-06
C,2.3474912918e-06
D,0.12620228828
E,-2.10498285469e-13
F,2.84217094304e-14
A_ext,
D_ext,
E_ext,
F_ext,
