,logQ - logK
R_1,-4.08353263219
R_2,-6.989787798
R_3,-3.17798428783
R_4,3.07427418968
R_5,-3.6061701868
R_6,7.12036518985
R_7,0.993196793015
R_8,4.52910512557
R_9,3.60517019602
