,Absolute activities
A,4.59557412131e-06
B,1.37137189159e-13
C,1.74153194098e-09
D,2.04269782222e-08
E,1.49107214445e-06
F,5.00198980507e-10
A_ext,0.114461315141
D_ext,0.00153541256114
E_ext,0.0113734085429
F_ext,3.80590722831e-06
