,Normalized absolute activities
A,3.60776594795e-05
B,1.07659863204e-12
C,1.36719362328e-08
D,1.60362458539e-07
E,1.17056958862e-05
F,3.92682350765e-09
A_ext,0.898581165751
D_ext,0.0120537913391
E_ext,0.0892872032308
F_ext,2.98783615211e-05
