,Forward rate
R_1,70.8634197487
R_2,66.2918099174
R_3,5.78174221309
R_4,47.4620731837
R_5,47.4620760327
R_6,10.5229807094
R_7,15.061699039
R_8,107.881037804
R_9,10.522983744
