,Absolute activities
A,9.802278903490273e-13
B,3.10718936615774e-17
C,2.0261703537505464e-14
D,2.8890891004753054e-17
E,3.6462642434133036e-13
F,1.7854177080933145e-22
A_ext,3.6570544944566896e-08
D_ext,2.6988115332611054e-22
E_ext,4.9492850581902354e-09
F_ext,6.689684962483237e-25
