,Net flux
R_1,69.8491061064
R_2,65.2764940607
R_3,4.57261341538
R_4,46.4405502526
R_5,46.4405531029
R_6,9.41797157093
R_7,13.9905838774
R_8,106.871681607
R_9,9.41797463902
