,Delta G
R_1,-10.526968605621041
R_2,-10.35923669500574
R_3,-3.879052506731838
R_4,-9.51587957268357
R_5,-9.515880356926015
R_6,-5.586807455490454
R_7,-6.552961502765304
R_8,-11.581055224025253
R_9,-5.5868408947523
