,logQ - logK
R_1,-4.24653273453
R_2,-4.17887042112
R_3,-1.56479268305
R_4,-3.83866387534
R_5,-3.8386641917
R_6,-2.25369350191
R_7,-2.64343578594
R_8,-4.67174663017
R_9,-2.25370699116
