,Forward likelihoods
R_1,69.8634197487
R_2,65.2918099174
R_3,4.78174221309
R_4,46.4620731837
R_5,46.4620760327
R_6,9.5229807094
R_7,14.061699039
R_8,106.881037804
R_9,9.52298374403
