,Normalized Concentrations
A,0.00700207685542
B,0.000240298725972
C,0.0032811871733
D,0.000522861168899
E,0.010528389195
F,4.65848946004e-05
A_ext,0.489184409149
D_ext,4.89184409149e-06
E_ext,0.489184409149
F_ext,4.89184409149e-06
