,fullS*net_probabilities
A,-3.66796708111e-09
B,1.7841751826e-09
C,2.96965733948e-09
D,7.43229028322e-09
E,7.63284087324e-09
F,-8.21614086835e-09
A_ext,-0.18705133704
D_ext,0.286195372435
E_ext,-0.124364763345
F_ext,0.0252207200154
