,fullS*net_likelihood
A,-1.36970000764e-06
B,6.66250461023e-07
C,1.10893572725e-06
D,2.77538158855e-06
E,2.85027159208e-06
F,-3.06808870931e-06
A_ext,-69.8491061064
D_ext,106.871681607
E_ext,-46.4405531029
F_ext,9.41797463902
