,Log Concentrations
A,-11.154288013510357
B,-14.526367250267723
C,-11.912289512201376
D,-13.748934113783621
E,-10.746419470681456
F,-16.16697375279649
A_ext,-6.907755278982137
D_ext,-18.420680743952367
E_ext,-6.907755278982137
F_ext,-18.420680743952367
