,Backward Log likelihoods
R_1,-4.24654218964
R_2,-4.17886660602
R_3,-1.56480495982
R_4,-3.83863634933
R_5,-3.83863641065
R_6,-2.25370789952
R_7,-2.64345472112
R_8,-4.67171641973
R_9,-2.25370821819
