,Absolute activities
A,9.80183128545e-13
B,3.10699379747e-17
C,2.02609580221e-14
D,2.88901177514e-17
E,3.64628283394e-13
F,1.78530832815e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
