,Forward probabilities
R_1,0.187088882064
R_2,0.174846779379
R_3,0.0128048211621
R_4,0.124423962339
R_5,0.124423962339
R_6,0.0255009300656
R_7,0.0376549489937
R_8,0.286222215005
R_9,0.0255009300656
