,logQ - logK
R_1,-4.2465511575
R_2,-4.17887739242
R_3,-1.56478910171
R_4,-3.83866213347
R_5,-3.83866213347
R_6,-2.25368227307
R_7,-2.6434317414
R_8,-4.67173583308
R_9,-2.25368227307
