,Normalized absolute activities
A,2.36068138555e-05
B,7.48291025976e-10
C,4.87966640211e-07
D,6.95792056128e-10
E,8.78173866577e-06
F,4.29975173906e-15
A_ext,0.880768119164
D_ext,6.49984068253e-15
E_ext,0.119199002873
F_ext,1.61114942398e-17
