,Net flux
R_1,69.8497327634
R_2,65.2771984932
R_3,4.57253427015
R_4,46.4417488076
R_5,46.4417488076
R_6,9.41772484281
R_7,13.990259113
R_8,106.873756728
R_9,9.41772484281
