,fullS*net_flux
A,3.37493766267e-08
B,2.15168506449e-05
C,-1.07627681398e-05
D,4.42261782752e-10
E,-8.14980305464e-11
F,-1.78952078692e-10
A_ext,-1.59721512077
D_ext,2.36218604859
E_ext,-0.764978286127
F_ext,-3.42970016525e-06
