,Backward Log likelihoods
R_1,-4.2128791953
R_2,-4.13254555295
R_3,-1.71073075717
R_4,-3.86897839278
R_5,-3.86897835577
R_6,0.249357673118
R_7,-2.5414849938
R_8,-4.68295352626
R_9,0.249346483278
