,Net likelihoods
R_1,67.5359482117
R_2,62.3203597614
R_3,5.35226961054
R_4,47.8725531134
R_5,47.8725513404
R_6,-0.503899729028
R_7,12.6197648206
R_8,108.079593182
R_9,-0.503876649991
