,Delta G
R_1,-10.4413208626
R_2,-10.242183787
R_3,-4.2111369195
R_4,-9.58948194278
R_5,-9.58948762786
R_6,-5.91213819167
R_7,-6.27877932798
R_8,-11.608800729
R_9,-5.91334813042
