,Net likelihoods
R_1,62.1872597114
R_2,54.5817483748
R_3,-1.77806972479e-08
R_4,2.07256449264e-05
R_5,3.26733991074e-06
R_6,-1.18704292946
R_7,11.345615522
R_8,124.743009752
R_9,9.64136580897
