,Absolute activities
A,1.12659837527e-12
B,4.3596189186e-17
C,1.33395157225e-14
D,3.03589950959e-17
E,3.23467066967e-13
F,1.30675086457e-22
A_ext,3.6570544603e-08
D_ext,2.69881153878e-22
E_ext,4.949285067e-09
F_ext,6.68968506593e-25
