,Concentrations
A,1.51403644331e-05
B,5.63132523001e-07
C,5.66666604236e-06
D,1.09042916774e-06
E,2.05071573767e-05
F,8.39640601166e-08
A_ext,0.000999999996233
D_ext,1.00000000082e-08
E_ext,0.00100000000072
F_ext,1.00000000624e-08
