,Entropy of Concentrations
A,0.0363477924443
B,0.00225919018726
C,0.0163298783884
D,0.00402192434344
E,0.0461865171799
F,0.000415061993322
A_ext,0.349696201665
D_ext,5.98480211287e-05
E_ext,0.349696201038
F_ext,5.98480214262e-05
