,logK - logQ
R_1,4.19039095662
R_2,4.09839579429
R_3,1.78955455774
R_4,3.88697334168
R_5,3.88698131416
R_6,2.82144963702
R_7,2.45482077895
R_8,4.69174153579
R_9,2.1278037523
