,Log Concentrations
A,-11.0981462394
B,-14.3897508493
C,-12.0809096127
D,-13.7289392073
E,-10.7947365924
F,-16.2928769854
A_ext,-6.90775528275
D_ext,-18.4206807431
E_ext,-6.90775527826
F_ext,-18.4206807377
