,log Q_r
R_1,-4.19039095662
R_2,-3.29160460993
R_3,-0.982763373383
R_4,-2.27339097296
R_5,-3.88698131416
R_6,0.405715100425
R_7,-1.64802959459
R_8,-4.69174153579
R_9,-2.1278037523
