,Chemical potential
A,-27.5118183106
B,-37.6715619313
C,-31.9480456577
D,-38.0334388215
E,-28.7596790884
F,-50.3893282456
A_ext,-17.1240227128
D_ext,-49.6640605406
E_ext,-19.1240227017
F_ext,-55.6640605272
