,fullS*net_flux
A,-1.03718682531e-08
B,21.5066688057
C,-10.7533351179
D,4.02213363948e-07
E,-1.09653380376e-07
F,-10.7533346082
A_ext,-10.7533346071
D_ext,5.37666781879
E_ext,-2.19253037947e-08
F_ext,5.37666744837
