,Net flux
R_1,10.7533346071
R_2,10.7533346176
R_3,-2.04666950054e-10
R_4,1.3157868417e-07
R_5,2.19253037947e-08
R_6,-5.37666715983
R_7,5.37666795784
R_8,5.37666781879
R_9,5.37666744837
