,Normalized absolute activities
A,4.68768403528e-06
B,3.8796981218e-07
C,1.24742358413e-10
D,5.45055827192e-14
E,8.74875222076e-11
F,4.82778711688e-06
A_ext,0.00042546052511
D_ext,3.13978889331e-18
E_ext,0.999564616506
F_ext,1.93158785245e-08
