,Forward rate
R_1,7.16323331954
R_2,3.73236511544
R_3,71.0668186595
R_4,11411.3043526
R_5,11411.3327583
R_6,10.2741814124
R_7,23.6588010073
R_8,52.3111757479
R_9,10.274180025
