,Normalized Concentrations
A,0.00257990521392
B,0.00211567997575
C,8.2504248357e-05
D,8.15876353819e-06
E,7.15032903308e-05
F,0.147464637745
A_ext,0.0159005577894
D_ext,1.59005585506e-07
E_ext,0.81587633599
F_ext,0.0159005579779
