	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	6.16323331954	0.162252497699	-4.50823351937	-1.81860153024	-0.0	0.0	1.81860153024	-1.81860153024	1.81860152938	-1.81860152938	0.000268048947494	7.05662255211e-06	0.000260992324942	6.00098082185	7.16323331954	1.1622524977	4.50823351937	6.00098082185	0.00220452593661	8.37024389848e-05	0.0022882283756	0.00212082349763	0.0158888170117	0.013731614598	0.0127270211358	0.7435231705	7937.11542501	0.117367093205	0.108780614633	38.1365576019	38.0933929737
R_2	2.73236511544	0.365983299358	-2.49176639743	-0.198376397106	0.806791184361	-2.0	1.00516758147	-1.00516758147	1.00516757679	-1.00516757679	0.000118834961357	1.59172033748e-05	0.000102917757983	2.36638181609	3.73236511544	1.36598329936	2.49176639743	2.36638181609	0.00107400363181	0.000175855014738	0.00124985864655	0.00089814861707	0.00424878870246	0.00295764277386	0.00212536255558	0.7435231705	7937.11542501	0.0641073582632	0.0460675575812	38.1365576019	38.0933929737
R_3	70.0668186595	0.0142720908289	-10.5341987318	-3.4426581512	0.806791184361	-2.0	4.24944933556	-4.24944933556	4.24944933903	-4.24944933903	0.00304731883772	6.20716225864e-07	0.0030466981215	70.0525465687	71.0668186595	1.01427209083	10.5341987318	70.0525465687	0.0176546207957	8.87151951071e-06	0.0176634923152	0.0176457492762	1.25466673272	1.23737261797	1.23612967291	0.7435231705	7937.11542501	0.905990315912	0.905080245511	38.1365576019	38.0933929737
R_4	11410.3043526	8.76400812022e-05	-23.1590832865	-7.72868974797	1.61358236872	-4.0	9.3422721167	-9.3422721167	9.3422721167	-9.3422721167	0.496252520993	3.81160834039e-09	0.496252517182	11410.3042649	11411.3043526	1.00008764008	23.1590832865	11410.3042649	0.347709435963	7.38888456507e-08	0.347709509851	0.347709362074	3967.8182001	3967.47130321	3967.46961702	0.7435231705	7937.11542501	17.8346072823	17.8345997026	38.1365576019	38.0933929737
R_5	11410.3327583	8.76398630241e-05	-23.1590894578	-9.34227460618	-0.0	0.0	9.34227460618	-9.34227460618	9.34227460618	-9.34227460618	0.496253756406	3.81159885148e-09	0.496253752594	11410.3326707	11411.3327583	1.00008763986	23.1590894578	11410.3326707	0.347709066165	7.3888671195e-08	0.347709140054	0.347708992277	3967.82385718	3967.47696066	3967.47527447	0.7435231705	7937.11542501	17.8345883148	17.8345807351	38.1365576019	38.0933929737
R_6	9.27418141236	0.107826228056	-5.5212163795	0.999930386479	3.22716473744	-8.0	2.22723435096	-2.22723435096	2.22723434717	-2.22723434717	0.000403349092524	4.68953639171e-06	0.000398659556132	9.1663551843	10.2741814124	1.10782622806	5.5212163795	9.1663551843	0.00315245878426	5.75414407807e-05	0.00321000022504	0.00309491734348	0.0324526793618	0.0294240022044	0.0283691116364	0.7435231705	7937.11542501	0.164646326223	0.158743531104	38.1365576019	38.0933929737
R_7	22.6588010073	0.0441329618314	-7.73570262489	-2.31375715694	0.806791184361	-2.0	3.1205483413	-3.1205483413	3.1205483419	-3.1205483419	0.000985467764497	1.91941361869e-06	0.000983548350878	22.6146680455	23.6588010073	1.04413296183	7.73570262489	22.6146680455	0.00682179627979	2.526618356e-05	0.00684706246335	0.00679653009623	0.161421901951	0.154844044695	0.153701271987	0.7435231705	7937.11542501	0.351197383481	0.348605493133	38.1365576019	38.0933929737
R_8	51.3111757479	0.0194889317078	-9.76190284439	-3.93790857872	-0.0	0.0	3.93790857872	-3.93790857872	3.93790857929	-3.93790857929	0.00223160570772	8.47605041254e-07	0.00223075810268	51.2916868162	52.3111757479	1.01948893171	9.76190284439	51.2916868162	0.0136240285067	1.18502398419e-05	0.0136358787466	0.0136121782669	0.712701030798	0.699407222133	0.698191584551	0.7435231705	7937.11542501	0.699407222133	0.698191584551	38.1365576019	38.0933929737
R_9	9.27418002502	0.107826244186	-5.52121600867	-2.22723420137	-0.0	0.0	2.22723420137	-2.22723420137	2.22723419758	-2.22723419758	0.000403349032187	4.68953709323e-06	0.000398659495094	9.16635378084	10.274180025	1.10782624419	5.52121600867	9.16635378084	0.00315245837302	5.75414486868e-05	0.00320999982171	0.00309491692433	0.0324526707728	0.0294239940022	0.0283691034508	0.7435231705	7937.11542501	0.164646305535	0.158743509605	38.1365576019	38.0933929737
