,Backward rate
R_1,1.1622524977
R_2,1.36598329936
R_3,1.01427209083
R_4,1.00008764008
R_5,1.00008763986
R_6,1.10782622806
R_7,1.04413296183
R_8,1.01948893171
R_9,1.10782624419
