,logQ - logK
R_1,-1.81860153024
R_2,-1.00516758147
R_3,-4.24944933556
R_4,-9.3422721167
R_5,-9.34227460618
R_6,-2.22723435096
R_7,-3.1205483413
R_8,-3.93790857872
R_9,-2.22723420137
