,log Q_r
R_1,-1.81860153024
R_2,-0.198376397106
R_3,-3.4426581512
R_4,-7.72868974797
R_5,-9.34227460618
R_6,0.999930386479
R_7,-2.31375715694
R_8,-3.93790857872
R_9,-2.22723420137
