,Chemical potential
A,-4.50823351946
B,-6.99999991689
C,-15.0424322513
D,-22.7781348762
E,-15.397186549
F,-4.47878396202
A_ext,-8.81766846272e-11
D_ext,-32.5400377205
E_ext,7.76190290881
F_ext,-9.99999997069
