,Backward probabilities
R_1,7.05662255211e-06
R_2,1.59172033748e-05
R_3,6.20716225864e-07
R_4,3.81160834039e-09
R_5,3.81159885148e-09
R_6,4.68953639171e-06
R_7,1.91941361869e-06
R_8,8.47605041254e-07
R_9,4.68953709323e-06
