,Delta G
R_1,-4.50823351937
R_2,-2.49176639743
R_3,-10.5341987318
R_4,-23.1590832865
R_5,-23.1590894578
R_6,-5.5212163795
R_7,-7.73570262489
R_8,-9.76190284439
R_9,-5.52121600867
