,Normalized Concentrations
A,0.00700194905248
B,0.000240292665287
C,0.00328113902564
D,0.000522855611997
E,0.0105284126271
F,4.65837511902e-05
A_ext,0.489184491788
D_ext,4.89184491788e-06
E_ext,0.489184491788
F_ext,4.89184491788e-06
