,Backward Log likelihoods
R_1,-4.24655115534
R_2,-4.17887738992
R_3,-1.56478910408
R_4,-3.83866213484
R_5,-3.83866213484
R_6,-2.253682261
R_7,-2.64343173419
R_8,-4.67173583331
R_9,-2.253682261
