,Chemical potential
A,-29.4218726883
B,-40.3662041214
C,-30.7753912402
D,-34.9824251085
E,-24.3613236421
F,-52.8105452306
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
