,Thermodynamic driving force
R_1,12.2978499848
R_2,10.9443314331
R_3,1.3535185519
R_4,5.23732245367
R_5,5.23730093857
R_6,2.85352822804
R_7,4.20703386835
R_8,14.6816354341
R_9,2.85351531203
