	Log Concentrations
A	-11.8686537561
B	-15.4767576313
C	-11.6078659896
D	-12.4981737238
E	-9.02045939252
F	-17.2695852449
A_ext	-6.90775527898
D_ext	-18.420680744
E_ext	-6.90775527898
F_ext	-18.420680744
