,Backward likelihoods
R_1,0.000128403528866
R_2,0.106033918969
R_3,0.000214889842719
R_4,14386143953.1
R_5,3.8271730387e-09
R_6,1.03303959007
R_7,1160336840.13
R_8,0.65283046388
R_9,129375534.962
