,fullS*forward_rate
A,-0.319223618162
B,-68.5178659724
C,36.8265440784
D,-18.7053988068
E,2.72715969728
F,36.0312510524
A_ext,-4.02070555054
D_ext,18.7053988085
E_ext,-2.72715969792
F_ext,9.20156644578e-09
