,Entropy of Concentrations
A,0.0019478836681
B,6.56895421151e-05
C,0.00125347315647
D,0.0212332418636
E,0.016483633578
F,0.0212332418636
A_ext,0.367851823969
D_ext,0.275498180863
E_ext,0.36717233695
F_ext,0.275498180862
