	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	7787.94795464	0.000128403528866	-18.2272040615	-7.35277377618	-0.0	0.0	7.35277377618	-7.35277377618	8.96033268371	-8.96033268371	4.88666036486e-07	8.05686477198e-15	4.88666028429e-07	7787.94782624	4.02070555054	0.00051627278122	18.2272040615	4.02018927775	7.10109279482e-06	2.61463405106e-13	7.10109305628e-06	7.10109253336e-06	2.85514032151e-05	2.85477381652e-05	2.8547736063e-05	0.389658145575	-0.806168336053	4.61141051006e-05	4.61141017047e-05	2.53041842093	-1.65493490119
R_2	9.43094445363	0.106033918969	-11.3229536416	-3.76083840514	0.806791184361	-2.0	4.5676295895	-4.5676295895	2.24399624578	-2.24399624578	5.91758223517e-10	6.653251308e-12	5.85104972209e-10	9.32491053466	3.54463615149	0.375851662462	11.3229536416	3.16878448903	1.25736331506e-08	1.71227513212e-10	1.27448606638e-08	1.24024056373e-08	4.46333107665e-08	4.03857167861e-08	3.93005506102e-08	0.389658145575	-0.806168336053	8.27644194328e-08	8.05405354538e-08	2.53041842093	-1.65493490119
R_3	4653.54707951	0.000214889842719	-3.23634679677	-0.498736848224	0.806791184361	-2.0	1.30552803258	-1.30552803258	8.44538502059	-8.44538502059	2.91993529e-07	1.34835733795e-14	2.91993515517e-07	4653.54686462	0.795293017211	0.000170900391384	3.23634679677	0.795122116819	4.39349061908e-06	4.30628985225e-13	4.39349104971e-06	4.39349018845e-06	3.49411241061e-06	3.49336190367e-06	3.49336121887e-06	0.389658145575	-0.806168336053	2.85310875972e-05	2.85310820043e-05	2.53041842093	-1.65493490119
R_4	6.95113300174e-11	14386143953.1	13.0136996226	6.86325143442	1.61358236872	-4.0	-5.2496690657	5.2496690657	-23.3895313548	23.3895313548	4.36158874306e-21	0.902679369048	-0.902679369048	-14386143953.1	6.44410130238e-10	9.27057689844	-13.0136996226	-9.27057689779	2.0447760707e-19	0.0924234103567	0.0924234103567	-0.0924234103567	0.856818332927	-0.856818332868	0.856818332868	0.389658145575	-0.806168336053	0.60019250912	-0.60019250912	2.53041842093	-1.65493490119
R_5	261289466.112	3.8271730387e-09	-11.9312082374	-4.81299681235	-0.0	0.0	4.81299681235	-4.81299681235	19.3811394163	-19.3811394163	0.0163949847282	2.40141496921e-19	0.0163949847282	261289466.112	2.72715969792	1.04373120681e-08	11.9312082374	2.72715968749	0.0673961720451	1.02956004776e-17	0.0673961720451	0.0673961720451	0.183800124196	0.183800123492	0.183800123492	0.389658145575	-0.806168336053	0.437667009351	0.437667009351	2.53041842093	-1.65493490119
R_6	0.968017111459	1.03303959007	16.3396967029	9.81852636498	3.22716473744	-8.0	-6.59136162753	6.59136162753	-0.0325055147342	0.0325055147342	6.07396310123e-11	6.48195602939e-11	-4.0799292816e-12	-0.0650224786076	36.0312510616	37.2217088263	-16.3396967029	-1.19045776468	1.42886487795e-09	1.5206288809e-09	2.94949375885e-09	-9.17640029491e-11	1.08084194588e-07	-3.51124774709e-09	1.09241169829e-10	0.389658145575	-0.806168336053	1.91538491484e-08	-5.95910353928e-10	2.53041842093	-1.65493490119
R_7	8.618187111e-10	1160336840.13	6.16648301323	3.29432325115	0.806791184361	-2.0	-2.48753206679	2.48753206679	-20.8719761793	20.8719761793	5.40760590821e-20	0.0728070100052	-0.0728070100052	-1160336840.13	3.91547246046e-10	0.454326694238	-6.16648301323	-0.454326693846	2.39902462853e-18	0.190750218918	0.190750218918	-0.190750218918	0.086662916386	-0.0866629163113	0.0866629163113	0.389658145575	-0.806168336053	1.23872135929	-1.23872135929	2.53041842093	-1.65493490119
R_8	1.53179126179	0.65283046388	8.9370589711	3.605170196	-0.0	0.0	-3.605170196	3.605170196	0.426437809938	-0.426437809938	9.61144538949e-11	4.09627898311e-11	5.51516640637e-11	0.878960797907	18.7053988085	12.2114541812	-8.9370589711	6.49394462727	2.21692614921e-09	9.79762631979e-10	3.19668878119e-09	1.23716351723e-09	5.34328142387e-08	2.07591199357e-08	8.03407137578e-09	0.389658145575	-0.806168336053	2.07591199357e-08	8.03407137578e-09	2.53041842093	-1.65493490119
R_9	7.72943663805e-09	129375534.962	8.93705897108	3.60517019599	-0.0	0.0	-3.60517019599	3.60517019599	-18.6782298569	18.6782298569	4.84994659465e-19	0.00811785469757	-0.00811785469757	-129375534.962	9.20156644578e-09	1.19045758141	-8.93705897108	-1.19045757221	2.04522970894e-17	0.0390768307798	0.0390768307798	-0.0390768307798	0.0465193094592	-0.0465193090997	0.0465193090997	0.389658145575	-0.806168336053	0.253762775293	-0.253762775293	2.53041842093	-1.65493490119
