,logK - logQ
R_1,7.35277377618
R_2,4.5676295895
R_3,1.30552803258
R_4,-5.2496690657
R_5,4.81299681235
R_6,-6.59136162753
R_7,-2.48753206679
R_8,-3.605170196
R_9,-3.60517019599
