,Normalized absolute activities
A,1.08248836749e-08
B,1.30896174016e-13
C,4.25496196923e-10
D,2.02752037915e-07
E,7.00205581539e-07
F,5.02572055309e-10
A_ext,0.892066812249
D_ext,0.00154269695999
E_ext,0.106385752116
F_ext,3.82396344743e-06
