,Delta G
R_1,-18.2272040615
R_2,-11.3229536416
R_3,-3.23634679677
R_4,13.0136996226
R_5,-11.9312082374
R_6,16.3396967029
R_7,6.16648301323
R_8,8.9370589711
R_9,8.93705897108
