,Chemical potential
A,-18.3461513521
B,-29.6691049937
C,-21.5824981489
D,-15.4160151357
E,-14.1766249001
F,-21.4160151357
A_ext,-0.118947290616
D_ext,-6.47895616456
E_ext,-2.24541666276
F_ext,-12.4789561646
