,Backward probabilities
R_1,5.99566074367e-05
R_2,9.92147655637e-05
R_3,0.000151191661003
R_4,0.00021240797193
R_5,0.000212407945595
R_6,0.000367915692632
R_7,0.000107518567015
R_8,5.35331457208e-05
R_9,0.000367915632385
