,Concentrations
A,4.646535127641028e-06
B,2.8719898150664433e-07
C,4.4320741306196993e-07
D,2.979661900761964e-08
E,1.021130496151838e-08
F,4.7145280630693707e-07
A_ext,0.00027735174468442356
D_ext,4.4900245942139047e-10
E_ext,1.6934759348490275e-07
F_ext,4.7378506838539554e-08
